,my_x,my_y,my_az,enemy_x,enemy_y,u,v,theta,sin_theta,est_enemy_u,est_enemy_v,est_enemy_theta,est_enemy_sin_theta,est_enemy_x,est_enemy_y,diff_enemy_x,diff_enemy_y,diff_enemy_u,diff_enemy_v,diff_enemy_theta,diff_enemy_sin_theta
48,-1.300038,0.000189,0.111681,0.642608,-0.005501,0.009477,1.942631,-0.279500,-0.004878,0.034517,1.923758,-1.027924,-0.017940,0.623784,-0.030578,0.018824,0.025077,0.025040,0.018873,0.748424,0.013062
49,-1.300039,0.000193,0.114614,0.681526,-0.005359,0.009516,1.981550,-0.275146,-0.004802,0.032651,1.978107,-0.945644,-0.016504,0.678129,-0.028501,0.003397,0.023142,0.023135,0.003443,0.670498,0.011702
50,-1.300039,0.000195,0.116194,0.702540,-0.005283,0.009539,2.002564,-0.272925,-0.004763,0.033114,2.006180,-0.945644,-0.016504,0.706204,-0.028851,0.003664,0.023568,0.023575,0.003616,0.672719,0.011741
51,-1.300040,0.000198,0.118921,0.738796,-0.005146,0.009576,2.038821,-0.269099,-0.004697,0.038878,2.006180,-1.110206,-0.019376,0.706217,-0.034516,0.032579,0.029370,0.029302,0.032641,0.841107,0.014679
52,-1.300040,0.000200,0.120934,0.765458,-0.005070,0.009630,2.065482,-0.267121,-0.004662,0.037037,2.064182,-1.027924,-0.017940,0.764216,-0.032480,0.001242,0.027410,0.027407,0.001300,0.760803,0.013278
53,-1.300040,0.000202,0.122326,0.783931,-0.005018,0.009669,2.083955,-0.265842,-0.004640,0.034566,2.094134,-0.945644,-0.016504,0.794163,-0.029893,0.010232,0.024875,0.024897,0.010179,0.679802,0.011864
54,-1.300041,0.000205,0.125017,0.819723,-0.004915,0.009745,2.119748,-0.263407,-0.004597,0.034072,2.064182,-0.945644,-0.016504,0.764211,-0.029363,0.055512,0.024448,0.024327,0.055566,0.682237,0.011907
55,-1.300041,0.000206,0.126616,0.840964,-0.004848,0.009785,2.140989,-0.261867,-0.004570,0.035071,2.124734,-0.945644,-0.016504,0.824765,-0.030170,0.016199,0.025322,0.025286,0.016255,0.683777,0.011934
56,-1.300041,0.000208,0.128160,0.861388,-0.004805,0.009848,2.161412,-0.261046,-0.004556,0.034072,2.064182,-0.945644,-0.016504,0.764212,-0.029246,0.097176,0.024441,0.024224,0.097230,0.684598,0.011948
57,-1.300042,0.000211,0.130663,0.894589,-0.004734,0.009950,2.194614,-0.259763,-0.004534,0.029394,2.155996,-0.781090,-0.013632,0.856015,-0.024266,0.038574,0.019532,0.019444,0.038618,0.521327,0.009098
