,Unnamed: 0,my_x,my_y,my_qx,my_qy,my_qz,my_qw,my_ax,my_ay,my_az,enemy_x,enemy_y,enemy_qx,enemy_qy,enemy_qz,enemy_qw,enemy_ax,enemy_ay,enemy_az,circle_x,circle_y,circle_r,u,v,theta,est_enemy_theta,est_enemy_v,est_enemy_u,est_dx,est_dy,est_enemy_x,est_enemy_y,diff_enemy_u,diff_enemy_v,diff_enemy_theta,diff_enemy_x,diff_enemy_y
802,1244,-0.323963,-0.020950,-0.002271,0.003134,0.584626,0.811293,-0.001162,0.443441,71.553811,-0.013560,1.473405,0.002564,0.002885,-0.666430,0.745557,-0.001325,0.442300,-83.585064,221,147,9,-0.178380,1.515793,6.711746,7.494810,1.565489,0.205956,0.690717,1.419889,0.366754,1.398939,0.384336,0.049696,0.783064,0.380314,0.074466
803,1245,-0.323964,-0.020946,-0.002271,0.003133,0.584762,0.811195,-0.001160,0.443441,71.573008,-0.012972,1.468263,0.002558,0.002891,-0.664615,0.747176,-0.001157,0.442335,-83.306373,223,145,10,-0.175686,1.511156,6.631415,7.327003,1.529050,0.196608,0.669854,1.388504,0.345890,1.367558,0.372294,0.017894,0.695588,0.358862,0.100705
804,1246,-0.323965,-0.020942,-0.002272,0.003133,0.584908,0.811090,-0.001158,0.443441,71.593602,-0.011495,1.456339,0.002537,0.002912,-0.658906,0.752215,-0.001220,0.442601,-82.433783,226,145,11,-0.169975,1.500368,6.463399,7.075292,1.529050,0.189784,0.662880,1.390900,0.338915,1.369958,0.359759,0.028682,0.611893,0.350410,0.086381
805,1247,-0.323966,-0.020937,-0.002272,0.003132,0.585094,0.810956,-0.001156,0.443441,71.619894,-0.008804,1.437589,0.002486,0.002941,-0.646748,0.762694,-0.000666,0.441298,-80.594501,228,141,6,-0.160818,1.483497,6.186955,6.907485,1.460899,0.176982,0.628603,1.330566,0.304637,1.309629,0.337800,0.022598,0.720530,0.313441,0.127960
806,1248,-0.323968,-0.020932,-0.002273,0.003132,0.585272,0.810828,-0.001154,0.443442,71.645082,-0.004161,1.412697,0.002434,0.002991,-0.632365,0.774661,-0.000666,0.441864,-78.450331,231,140,6,-0.147917,1.461400,5.779549,6.655775,1.444794,0.168594,0.614986,1.318198,0.291018,1.297266,0.316511,0.016606,0.876226,0.295179,0.115431
807,1249,-0.323969,-0.020927,-0.002274,0.003131,0.585432,0.810713,-0.001152,0.443442,71.667591,0.001626,1.384711,0.002441,0.003009,-0.631425,0.775427,-0.000803,0.443972,-78.311334,231,144,8,-0.133044,1.436708,5.290703,6.655775,1.511435,0.176370,0.642810,1.379253,0.318841,1.358326,0.309414,0.074727,1.365072,0.317215,0.026385
808,1250,-0.323969,-0.020924,-0.002274,0.003131,0.585540,0.810634,-0.001151,0.443442,71.682887,0.005568,1.365595,0.002439,0.003003,-0.631355,0.775484,-0.000510,0.443392,-78.301023,237,140,11,-0.122910,1.419832,4.947556,6.152353,1.444794,0.155739,0.601912,1.322644,0.277943,1.301720,0.278649,0.024962,1.204797,0.272375,0.063875
809,1251,-0.323970,-0.020920,-0.002275,0.003131,0.585684,0.810530,-0.001149,0.443442,71.703318,0.010833,1.340245,0.002436,0.003006,-0.631145,0.775655,-0.000932,0.443399,-78.270046,239,137,10,-0.109444,1.397457,4.478073,5.984546,1.398581,0.146615,0.578270,1.281846,0.254300,1.260926,0.256059,0.001124,1.506473,0.243467,0.079319
810,1252,-0.323971,-0.020916,-0.002275,0.003130,0.585836,0.810420,-0.001147,0.443442,71.724776,0.016371,1.313590,0.002431,0.003000,-0.631119,0.775676,-0.000883,0.442431,-78.266168,248,136,13,-0.095301,1.373920,3.967940,5.229414,1.383850,0.126657,0.554218,1.274333,0.230247,1.253417,0.221958,0.009930,1.261474,0.213876,0.060173
811,1253,-0.323972,-0.020912,-0.002276,0.003130,0.585991,0.810308,-0.001145,0.443443,71.746676,0.022025,1.286370,0.002438,0.003010,-0.631151,0.775650,-0.000994,0.443821,-78.270910,250,137,11,-0.080879,1.349874,3.428820,5.061607,1.398581,0.123875,0.555704,1.289406,0.231732,1.268494,0.204754,0.048707,1.632787,0.209707,0.017876
812,1254,-0.323973,-0.020907,-0.002276,0.003129,0.586169,0.810180,-0.001143,0.443443,71.771791,0.028462,1.255323,0.002440,0.003008,-0.630897,0.775857,-0.000514,0.443852,-78.233341,258,136,10,-0.064459,1.322429,2.790548,4.390379,1.383850,0.106248,0.533788,1.281171,0.209815,1.260264,0.170707,0.061421,1.599831,0.181353,0.004941
813,1255,-0.323974,-0.020902,-0.002277,0.003129,0.586358,0.810043,-0.001141,0.443443,71.798557,0.035341,1.222348,0.002430,0.003001,-0.630836,0.775906,-0.000893,0.442495,-78.224410,266,132,11,-0.047004,1.293278,2.081479,3.719151,1.328070,0.086328,0.496843,1.234654,0.172869,1.213752,0.133332,0.034792,1.637672,0.137528,0.008596
814,1256,-0.323976,-0.020897,-0.002278,0.003128,0.586547,0.809906,-0.001139,0.443443,71.825394,0.042238,1.189271,0.002435,0.003009,-0.630860,0.775887,-0.001011,0.443606,-78.227862,271,128,12,-0.029524,1.264020,1.338046,3.299633,1.276953,0.073620,0.468247,1.190283,0.144271,1.169386,0.103144,0.012933,1.961587,0.102033,0.019885
815,1257,-0.323977,-0.020893,-0.002278,0.003128,0.586687,0.809805,-0.001137,0.443444,71.845120,0.047287,1.164995,0.002438,0.003007,-0.630831,0.775911,-0.000602,0.443536,-78.223579,281,128,11,-0.016725,1.242533,0.771193,2.460598,1.276953,0.054873,0.450023,1.196286,0.126046,1.175393,0.071598,0.034420,1.689405,0.078759,0.010398
816,1258,-0.323977,-0.020890,-0.002279,0.003128,0.586804,0.809720,-0.001136,0.443444,71.861688,0.051510,1.144781,0.002436,0.003010,-0.630585,0.776111,-0.000876,0.443766,-78.187297,288,127,12,-0.006059,1.224640,0.283477,1.873273,1.264846,0.041369,0.433075,1.189115,0.109098,1.168225,0.047428,0.040206,1.589796,0.057588,0.023444
817,1259,-0.323979,-0.020884,-0.002280,0.003127,0.587032,0.809555,-0.001133,0.443444,71.893904,0.059749,1.105423,0.002429,0.003002,-0.630547,0.776142,-0.000900,0.442532,-78.181660,294,122,13,0.014696,1.189789,-0.707662,1.369852,1.207989,0.028887,0.402872,1.139196,0.078893,1.118312,0.014191,0.018200,2.077514,0.019144,0.012889
818,1260,-0.323979,-0.020881,-0.002280,0.003127,0.587139,0.809477,-0.001132,0.443445,71.909146,0.063648,1.086789,0.002435,0.003010,-0.630572,0.776121,-0.001004,0.443671,-78.185336,305,121,12,0.024506,1.173280,-1.196542,0.446913,1.197306,0.009339,0.380671,1.135217,0.056692,1.114336,0.015167,0.024026,1.643455,0.006956,0.027547
819,1261,-0.323980,-0.020879,-0.002280,0.003127,0.587209,0.809426,-0.001131,0.443445,71.918986,0.066161,1.074767,0.002438,0.003014,-0.630580,0.776114,-0.000930,0.444199,-78.186631,309,117,11,0.030829,1.162626,-1.518940,0.111298,1.156649,0.002247,0.361115,1.098834,0.037135,1.077955,0.028582,0.005977,1.630238,0.029026,0.003188
820,1262,-0.323981,-0.020875,-0.002281,0.003126,0.587359,0.809317,-0.001130,0.443445,71.940304,0.071568,1.048903,0.002437,0.003014,-0.630292,0.776348,-0.000872,0.444118,-78.144050,317,113,9,0.044422,1.139698,-2.232111,-0.559930,1.119019,-0.010936,0.336507,1.067280,0.012526,1.046405,0.055358,0.020679,1.672181,0.059042,0.002498
821,1263,-0.323981,-0.020872,-0.002281,0.003126,0.587465,0.809241,-0.001128,0.443445,71.955214,0.075364,1.030842,0.002430,0.003007,-0.630261,0.776374,-0.000970,0.443051,-78.139419,324,116,14,0.053924,1.123686,-2.747421,-1.147255,1.146972,-0.022969,0.333447,1.097673,0.009466,1.076801,0.076893,0.023286,1.600166,0.065898,0.045959
822,1264,-0.323983,-0.020867,-0.002282,0.003125,0.587640,0.809113,-0.001126,0.443445,71.980043,0.081687,1.000755,0.002428,0.003004,-0.630249,0.776383,-0.000919,0.442638,-78.137702,330,110,6,0.069734,1.097004,-3.637290,-1.650676,1.092562,-0.031485,0.308041,1.048710,-0.015942,1.027843,0.101219,0.004442,1.986614,0.097629,0.027088
823,1265,-0.323984,-0.020861,-0.002283,0.003125,0.587861,0.808952,-0.001124,0.443446,72.011419,0.089658,0.962755,0.002436,0.003009,-0.630247,0.776385,-0.000627,0.443620,-78.137459,339,107,13,0.089655,1.063279,-4.819730,-2.405808,1.067455,-0.044848,0.287004,1.029126,-0.036980,1.008265,0.134503,0.004176,2.413922,0.126638,0.045510
824,1266,-0.323985,-0.020857,-0.002283,0.003124,0.588012,0.808843,-0.001122,0.443446,72.032727,0.095043,0.937181,0.002432,0.003011,-0.629976,0.776605,-0.000913,0.443490,-78.097392,353,110,9,0.103064,1.040576,-5.656401,-3.580457,1.092562,-0.068364,0.271997,1.060369,-0.051988,1.039512,0.171428,0.051986,2.075944,0.147031,0.102331
825,1267,-0.323985,-0.020855,-0.002284,0.003124,0.588109,0.808772,-0.001121,0.443446,72.046551,0.098546,0.920575,0.002427,0.003004,-0.629949,0.776627,-0.000904,0.442573,-78.093401,355,106,14,0.111766,1.025832,-6.217966,-3.748264,1.059362,-0.069402,0.260519,1.029171,-0.063466,1.008316,0.181168,0.033530,2.469702,0.162012,0.087741
826,1268,-0.323986,-0.020852,-0.002284,0.003124,0.588224,0.808688,-0.001120,0.443447,72.062838,0.102675,0.901002,0.002427,0.003005,-0.629948,0.776628,-0.000909,0.442582,-78.093259,362,102,14,0.122016,1.008448,-6.898918,-4.335589,1.028243,-0.077956,0.242505,1.002274,-0.081481,0.981422,0.199972,0.019795,2.563329,0.184156,0.080420
827,1269,-0.323987,-0.020849,-0.002285,0.003123,0.588321,0.808618,-0.001119,0.443447,72.076498,0.106138,0.884579,0.002432,0.003012,-0.629971,0.776609,-0.001007,0.443638,-78.096602,372,99,17,0.130608,0.993856,-7.486627,-5.174625,1.006094,-0.091112,0.222932,0.985306,-0.101055,0.964457,0.221720,0.012238,2.312002,0.207193,0.079878
828,1270,-0.323989,-0.020841,-0.002286,0.003123,0.588604,0.808413,-0.001115,0.443447,72.116562,0.116235,0.836699,0.002431,0.003012,-0.629684,0.776842,-0.000906,0.443524,-78.054345,383,99,17,0.155619,0.951291,-9.290568,-6.097563,1.006094,-0.107477,0.206669,0.990487,-0.117320,0.969646,0.263096,0.054803,3.193005,0.233555,0.132947
829,1271,-0.323989,-0.020839,-0.002286,0.003122,0.588687,0.808352,-0.001114,0.443448,72.128448,0.119233,0.822540,0.002426,0.003006,-0.629659,0.776862,-0.000924,0.442708,-78.050637,399,94,17,0.163016,0.938701,-9.851776,-7.440020,0.971114,-0.126815,0.177323,0.963172,-0.146666,0.942333,0.289831,0.032413,2.411756,0.265899,0.119793
830,1272,-0.323990,-0.020835,-0.002287,0.003122,0.588838,0.808242,-0.001113,0.443448,72.149794,0.124619,0.797101,0.002426,0.003006,-0.629657,0.776864,-0.000925,0.442674,-78.050271,406,89,17,0.176292,0.916073,-10.893006,-8.027345,0.938155,-0.132306,0.161635,0.933549,-0.162355,0.912714,0.308598,0.022082,2.865661,0.286974,0.115613
831,1273,-0.323991,-0.020832,-0.002287,0.003122,0.588973,0.808144,-0.001111,0.443448,72.168918,0.129443,0.774300,0.002434,0.003016,-0.629686,0.776840,-0.000961,0.444051,-78.054685,417,86,17,0.188174,0.895783,-11.863411,-8.950284,0.919182,-0.144767,0.143652,0.919356,-0.180339,0.898524,0.332941,0.023399,2.913127,0.309782,0.124224
832,1274,-0.323992,-0.020827,-0.002288,0.003121,0.589147,0.808016,-0.001109,0.443449,72.193647,0.135635,0.745015,0.002434,0.003016,-0.629403,0.777069,-0.000835,0.444113,-78.012889,426,84,18,0.203414,0.869709,-13.164103,-9.705416,0.906820,-0.155094,0.129642,0.910807,-0.194350,0.889980,0.358508,0.037111,3.458687,0.329985,0.144965
833,1275,-0.323993,-0.020823,-0.002288,0.003121,0.589315,0.807894,-0.001107,0.443449,72.217399,0.141601,0.716948,0.002424,0.003006,-0.629359,0.777105,-0.000900,0.442545,-78.006405,441,81,19,0.218029,0.844717,-14.472685,-10.963969,0.888660,-0.172158,0.107469,0.898779,-0.216524,0.877956,0.390187,0.043943,3.508716,0.358125,0.161008
834,1276,-0.323994,-0.020819,-0.002289,0.003120,0.589471,0.807780,-0.001106,0.443450,72.239547,0.147165,0.690766,0.002426,0.003009,-0.629367,0.777098,-0.000969,0.442947,-78.007606,454,79,19,0.231643,0.821392,-15.749129,-12.054715,0.876781,-0.187241,0.089135,0.892110,-0.234859,0.871291,0.418884,0.055389,3.694414,0.382024,0.180525
835,1277,-0.323995,-0.020815,-0.002289,0.003120,0.589608,0.807680,-0.001104,0.443450,72.259042,0.152057,0.667722,0.002434,0.003017,-0.629390,0.777080,-0.000910,0.444226,-78.011025,473,70,18,0.243606,0.800853,-16.918884,-13.648882,0.825194,-0.200381,0.060597,0.847010,-0.263398,0.826195,0.443987,0.024341,3.270002,0.415455,0.158473
836,1278,-0.323995,-0.020812,-0.002290,0.003120,0.589712,0.807604,-0.001103,0.443450,72.273791,0.155725,0.650398,0.002430,0.003011,-0.629180,0.777250,-0.000653,0.443361,-77.979966,483,67,21,0.252581,0.785402,-17.827534,-14.487917,0.808569,-0.208928,0.047175,0.833792,-0.276820,0.812980,0.461509,0.023167,3.339617,0.432545,0.162582
837,1279,-0.323996,-0.020810,-0.002290,0.003119,0.589797,0.807542,-0.001102,0.443450,72.285855,0.158741,0.636272,0.002430,0.003014,-0.629097,0.777318,-0.000892,0.443651,-77.967691,495,64,21,0.259920,0.772809,-18.589382,-15.494760,0.792193,-0.219617,0.031835,0.821455,-0.292161,0.800645,0.479537,0.019384,3.094622,0.450902,0.164373
838,1280,-0.323997,-0.020804,-0.002291,0.003119,0.590023,0.807377,-0.001099,0.443451,72.317952,0.166359,0.600573,0.002427,0.003011,-0.629008,0.777389,-0.000869,0.443203,-77.954592,510,64,19,0.278456,0.740959,-20.596481,-16.753313,0.792193,-0.238473,0.013410,0.827200,-0.310587,0.806396,0.516929,0.051234,3.843168,0.476946,0.205823
839,1281,-0.323998,-0.020802,-0.002291,0.003119,0.590112,0.807312,-0.001098,0.443451,72.330483,0.168376,0.591131,0.002425,0.003010,-0.628887,0.777487,-0.000854,0.442884,-77.936863,527,53,20,0.283408,0.732512,-21.151361,-18.179673,0.734236,-0.241116,-0.006881,0.772782,-0.330879,0.751980,0.524524,0.001724,2.971688,0.499255,0.160849
840,1282,-0.323999,-0.020796,-0.002292,0.003118,0.590340,0.807145,-0.001096,0.443452,72.362924,0.170666,0.580473,0.002420,0.003011,-0.627954,0.778241,-0.000847,0.442653,-77.799424,539,55,24,0.289237,0.722883,-21.807112,-19.186516,0.744518,-0.259072,-0.021315,0.788017,-0.345314,0.767221,0.548309,0.021635,2.620596,0.515980,0.186748
841,1283,-0.324000,-0.020793,-0.002293,0.003118,0.590441,0.807072,-0.001095,0.443452,72.377187,0.170409,0.581672,0.002419,0.003013,-0.627601,0.778525,-0.000857,0.442793,-77.747451,583,34,33,0.288811,0.723873,-21.750980,-22.878271,0.644676,-0.272034,-0.064092,0.696780,-0.388092,0.675987,0.560845,0.079197,1.127291,0.558501,0.094315
842,1284,-0.324000,-0.020791,-0.002293,0.003117,0.590544,0.806996,-0.001094,0.443453,72.391890,0.169282,0.586871,0.002422,0.003017,-0.627650,0.778486,-0.000879,0.443325,-77.754680,543,53,23,0.286350,0.728412,-21.460558,-19.522130,0.734236,-0.260326,-0.026019,0.778585,-0.350019,0.757794,0.546676,0.005824,1.938428,0.519301,0.170923
843,1285,-0.324002,-0.020784,-0.002294,0.003117,0.590795,0.806813,-0.001091,0.443453,72.427468,0.162783,0.616995,0.002427,0.003017,-0.628526,0.777779,-0.000998,0.443753,-77.883600,533,59,20,0.271516,0.754984,-19.780162,-18.683094,0.765433,-0.258833,-0.015661,0.807860,-0.339663,0.787076,0.530349,0.010449,1.097068,0.502446,0.170081
844,1286,-0.324003,-0.020782,-0.002294,0.003116,0.590888,0.806744,-0.001090,0.443453,72.440761,0.159531,0.632180,0.002426,0.003006,-0.629115,0.777303,-0.000635,0.442648,-77.970391,517,60,23,0.264011,0.768416,-18.961595,-17.340638,0.770732,-0.240656,0.003081,0.807424,-0.320922,0.786642,0.504667,0.002316,1.620957,0.480453,0.154462
845,1287,-0.324003,-0.020778,-0.002295,0.003116,0.591037,0.806635,-0.001088,0.443454,72.461894,0.154390,0.656457,0.002433,0.003014,-0.629608,0.776903,-0.000866,0.443863,-78.043100,508,62,22,0.252078,0.789914,-17.698950,-16.585506,0.781409,-0.232733,0.013555,0.815218,-0.310448,0.794440,0.484811,0.008505,1.113444,0.464838,0.137983
846,1288,-0.324004,-0.020775,-0.002295,0.003116,0.591146,0.806555,-0.001087,0.443454,72.477348,0.150621,0.674275,0.002427,0.003006,-0.629652,0.776868,-0.000855,0.442766,-78.049538,491,66,20,0.243334,0.805700,-16.805131,-15.159146,0.803083,-0.217578,0.034313,0.831328,-0.289691,0.810553,0.460912,0.002617,1.645985,0.440312,0.136278
847,1289,-0.324005,-0.020770,-0.002296,0.003115,0.591337,0.806415,-0.001085,0.443455,72.504497,0.143996,0.705595,0.002430,0.003011,-0.629651,0.776869,-0.000963,0.443352,-78.049388,476,70,20,0.227984,0.833459,-15.298405,-13.900593,0.825194,-0.204224,0.053302,0.848417,-0.270703,0.827647,0.432208,0.008265,1.397812,0.414699,0.122052
848,1290,-0.324006,-0.020767,-0.002297,0.003115,0.591472,0.806317,-0.001083,0.443455,72.523627,0.139324,0.727646,0.002435,0.003015,-0.629639,0.776878,-0.000814,0.444112,-78.047666,463,73,18,0.217185,0.853011,-14.284586,-12.809847,0.842086,-0.191469,0.070258,0.860716,-0.253748,0.839949,0.408654,0.010925,1.474739,0.393072,0.112303
849,1291,-0.324007,-0.020762,-0.002297,0.003114,0.591683,0.806162,-0.001081,0.443456,72.553665,0.132079,0.761994,0.002432,0.003012,-0.629932,0.776640,-0.001057,0.443628,-78.090973,454,79,20,0.200425,0.883488,-12.781604,-12.054715,0.876781,-0.187241,0.084242,0.892585,-0.239765,0.871823,0.387666,0.006707,0.726889,0.371844,0.109829
850,1292,-0.324009,-0.020755,-0.002298,0.003114,0.591929,0.805981,-0.001078,0.443457,72.588707,0.123630,0.802092,0.002429,0.003007,-0.629970,0.776610,-0.000948,0.442994,-78.096513,436,82,19,0.180909,0.919092,-11.135447,-10.544451,0.894665,-0.166534,0.108806,0.903505,-0.215203,0.882750,0.347443,0.024427,0.590996,0.338833,0.080658
851,1293,-0.324009,-0.020754,-0.002299,0.003113,0.591987,0.805939,-0.001078,0.443457,72.596842,0.121668,0.811406,0.002433,0.003013,-0.629958,0.776620,-0.001014,0.443740,-78.094741,416,91,15,0.176382,0.927366,-10.768851,-8.866380,0.951123,-0.148370,0.142896,0.951960,-0.181113,0.931206,0.324752,0.023757,1.902471,0.302781,0.119800
