,my_x,my_y,enemy_x,enemy_y,circle_x,circle_y,circle_r
517,-0.371638,0.689142,0.001333,1.300111,301,51,21
518,-0.371648,0.689146,0.001335,1.300111,307,47,19
519,-0.371672,0.689167,0.001338,1.300112,307,52,21
520,-0.371668,0.689178,0.001340,1.300112,301,54,20
521,-0.371241,0.689877,0.001343,1.300113,304,45,19
522,-0.367908,0.694619,0.001345,1.300113,296,50,24
523,-0.361998,0.702121,0.001347,1.300114,237,47,23
524,-0.348106,0.718172,0.001350,1.300114,162,45,27
525,-0.339112,0.727639,0.001352,1.300114,144,38,23
526,-0.317372,0.747117,0.001355,1.300115,116,25,12
527,-0.299938,0.760722,0.001357,1.300115,9,18,21
628,-0.154582,0.673418,0.001597,1.300160,639,17,13
629,-0.147879,0.640776,0.001600,1.300161,638,18,27
630,-0.142530,0.614716,0.001602,1.300161,621,21,21
631,-0.135783,0.581815,0.001605,1.300162,613,32,24
632,-0.128869,0.548035,0.001607,1.300162,604,41,26
633,-0.123069,0.519669,0.001610,1.300163,590,44,26
634,-0.118392,0.496800,0.001612,1.300163,587,51,18
635,-0.112215,0.466536,0.001614,1.300164,569,64,19
636,-0.108386,0.447760,0.001616,1.300164,559,68,20
637,-0.099124,0.402297,0.001619,1.300165,557,75,19
638,-0.093608,0.375198,0.001622,1.300165,550,79,17
639,-0.087797,0.346604,0.001624,1.300166,541,82,19
640,-0.081626,0.316205,0.001627,1.300166,532,93,13
641,-0.076335,0.290152,0.001629,1.300166,529,91,18
642,-0.065429,0.282495,0.001631,1.300167,517,97,17
643,-0.058965,0.278151,0.001634,1.300167,457,97,12
644,-0.059021,0.278117,0.001636,1.300168,418,108,11
645,-0.059181,0.277817,0.001638,1.300168,348,101,14
646,-0.059209,0.277797,0.001641,1.300169,353,103,16
647,-0.059220,0.277787,0.001643,1.300169,350,105,13
648,-0.059283,0.277607,0.001646,1.300170,356,104,15
649,-0.059321,0.277583,0.001648,1.300170,354,100,5
650,-0.059334,0.277558,0.001650,1.300170,355,103,16
651,-0.059336,0.277549,0.001652,1.300171,356,103,15
652,-0.059368,0.277486,0.001654,1.300171,354,106,12
653,-0.059412,0.277462,0.001657,1.300172,358,104,16
654,-0.059422,0.277456,0.001660,1.300172,355,106,13
655,-0.059452,0.277424,0.001662,1.300173,358,107,14
656,-0.059496,0.277405,0.001664,1.300173,360,101,13
657,-0.059505,0.277400,0.001666,1.300174,360,105,16
658,-0.059504,0.277476,0.001669,1.300174,357,103,13
659,-0.059497,0.278843,0.001671,1.300175,361,101,11
660,-0.059431,0.280980,0.001674,1.300175,351,105,16
661,-0.059261,0.283505,0.001676,1.300175,324,108,11
662,-0.059032,0.285682,0.001679,1.300176,307,104,14
663,-0.058721,0.287853,0.001681,1.300176,274,105,15
664,-0.057639,0.292947,0.001684,1.300177,269,106,12
665,-0.055883,0.299187,0.001686,1.300177,194,104,14
666,-0.051920,0.310690,0.001688,1.300178,141,98,17
667,-0.046254,0.324732,0.001690,1.300178,114,97,14
668,-0.037083,0.344673,0.001693,1.300179,52,90,18
669,-0.021925,0.372897,0.001696,1.300179,7,82,6
978,0.635383,0.008037,0.002430,1.300324,605,131,5
979,0.635062,0.008387,0.002433,1.300324,551,138,11
980,0.634748,0.008769,0.002435,1.300325,507,137,12
981,0.634534,0.009059,0.002437,1.300325,476,137,11
982,0.634173,0.009614,0.002440,1.300326,420,141,9
983,0.633875,0.010159,0.002443,1.300327,386,139,11
984,0.633691,0.010553,0.002445,1.300327,353,138,5
985,0.633500,0.011030,0.002447,1.300328,294,139,11
986,0.633372,0.011405,0.002449,1.300328,264,137,7
987,0.633227,0.011926,0.002452,1.300328,220,140,13
988,0.633114,0.012456,0.002454,1.300329,200,140,19
989,0.633036,0.012981,0.002457,1.300329,122,136,9
999,0.633250,0.010839,0.002481,1.300334,130,138,8
1001,0.633591,0.009859,0.002485,1.300335,206,138,13
1002,0.633786,0.009421,0.002487,1.300336,252,140,11
